n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
65,0.632622065562348,0.9636671336776257,0.0,0.12908656192621734,0.24878730175494496,0.32105848395738135,0.08643250577230743,1.6975888209274042,4,60,0.20573865219997106,4,0.1,0.10985514654139875,24,20,4,41.3
70,0.5686928720603176,0.965619792200875,0.0,0.11189793524130787,0.22529512559066672,0.42102622008649476,0.03180640671405385,1.4733370215554014,5,25,0.49855198625276465,3,0.3,0.2890282509957176,24,6,3,49.4
113,0.5824990720483347,0.9678328043658511,0.0,0.07141516213975041,0.22264059739427036,0.3020440261022089,0.22811981130043785,1.7621113671736448,3,15,0.2,4,0.1,0.05,6,1,4,28.9
93,0.6067850230054351,0.9673520303393621,0.0,0.09104493916526574,0.22695095480831004,0.3280721744576082,0.1684186516249632,1.7325388111356852,3,25,0.2,4,0.25,0.05,10,3,4,32.8
18,0.5649340783891003,0.9598300664494964,0.0,0.19424637938816855,0.24315744871214845,0.37135124838051925,0.03939240171066072,1.4222180719582653,7,80,0.2,3,0.15,0.24690218839399847,32,28,3,46.9
89,0.5908699348515104,0.9663385020062899,0.0,0.08481801067968558,0.2195576297684018,0.29371166286887535,0.1812048620938795,1.7503723143234888,3,40,0.2,4,0.1,0.05,16,7,4,34.6
100,0.6171191396011872,0.9679764049567661,0.0,0.08901028274562015,0.22243057759056128,0.3199091519842214,0.1800177874683151,1.7720888543681759,3,25,0.2,4,0.2,0.05,10,3,4,33.9
7,0.5785465116682877,0.962165130093304,0.0,0.36565959113072033,0.2501455985519646,0.16870791711190894,0.011834457647002838,1.465735074734769,12,80,0.5,3,0.1,0.2971541497177505,80,12,3,50.0
169,0.5822506820656902,0.9677923626880056,0.0,0.09380486161497997,0.22195483421336532,0.3133568155389434,0.17530531487015982,1.7018072899938599,3,15,0.2,4,0.15,0.08808401660957435,6,2,4,40.6
143,0.6205974037933334,0.9681879429977129,0.0,0.06504517778992025,0.22368434204631366,0.2913585563671192,0.04981005207017748,1.7660418714392723,3,25,0.5,4,0.15,0.12254753091610648,25,7,4,50.0
89,0.608364196144821,0.9691978760585034,0.0,0.1148615761188928,0.2130949596607875,0.3234553179883717,0.07154516716309571,1.6768344779920348,3,25,0.5,4,0.1,0.05,25,3,4,35.6
95,0.6194534026067167,0.9646301375288382,0.0,0.12010442616482854,0.22678331373496444,0.22083153999783736,0.11221199060692807,1.8053153150155872,3,80,0.2,4,0.1,0.0951115404356348,32,50,4,53.9
53,0.6556249067835153,0.963641395549937,0.0,0.12888064073279099,0.24059532032808392,0.2657313649268529,0.0661501250319127,1.793056605809238,3,80,0.21465130586735284,4,0.25,0.059102295919831085,34,31,4,43.3
71,0.6796301076394634,0.9677230302256458,0.0,0.11968332849385338,0.21365911756322264,0.2948246348499364,0.10976257705846398,1.8605270119084034,3,60,0.2043939826770326,4,0.2,0.0562255658548677,24,17,4,38.8
69,0.664067092236838,0.9679128753588054,0.0,0.13178903973743988,0.21602786302215163,0.3211632997392474,0.12024912815157694,1.7952053529205063,3,60,0.2,4,0.2,0.05,24,15,4,37.8
63,0.6587985965446393,0.9678882706536409,0.0,0.1341176698419651,0.2161624703318701,0.3328267196217459,0.11034805716886538,1.765633867697706,3,60,0.2,4,0.3,0.05,24,15,4,37.5
69,0.664067092236838,0.9679128753588054,0.0,0.13178903973743988,0.21602786302215163,0.3211632997392474,0.12024912815157694,1.7952053529205063,3,60,0.2,4,0.1,0.05,24,15,4,38.1
85,0.6487033320249894,0.9664016538298863,0.0,0.11257749085011337,0.23281081645574594,0.329268847504341,0.06762018767497928,1.7393666651350272,3,60,0.5,4,0.2,0.05,60,15,4,42.8
92,0.654049274067004,0.9613084649402498,0.0,0.07358246570927054,0.24898118047303763,0.2972205587393095,0.12024912815157694,1.834237962464947,3,60,0.2277884428554977,3,0.2,0.06721097172889286,27,20,3,40.7
104,0.606207548449527,0.9673953530985246,0.0,0.08691043244515445,0.22620867052669488,0.3121198592785919,0.18658595558041216,1.760968800800691,3,25,0.2,4,0.1,0.05,10,3,4,33.2
81,0.6741205830704626,0.9581756548691222,0.0,0.07882128717192594,0.23785460750171536,0.3149634980229112,0.12429771667757715,1.8558535904031415,3,60,0.22609095090030054,3,0.15,0.05811937776201804,27,17,3,39.8
108,0.6352810595436195,0.9645031539951638,0.0,0.07816970619678425,0.24425961968190285,0.35537714654598845,0.1931112642153347,1.7759442426063459,3,25,0.2,3,0.1,0.05,10,3,3,33.1
59,0.6097755843698288,0.9436326763508303,0.0,0.11622364750432052,0.26043614900561113,0.32071540951386673,0.10369245855712929,1.6478729428480596,3,60,0.2,3,0.3,0.05,24,15,3,37.6
55,0.6347331502167248,0.9612107457193444,0.0,0.14191552640705407,0.2541642560889434,0.3698719479704909,0.04427282367798813,1.6139438555697718,3,60,0.5,3,0.2,0.05,60,15,3,43.0
95,0.6479083900295801,0.963406433502784,0.0,0.06038199750342965,0.2374855683528769,0.26353114353405566,0.1300531282481978,1.8815938524721192,3,60,0.218890647666444,4,0.2,0.06310026200830772,26,19,4,40.8
154,0.6393592744588353,0.9637526999811178,0.012987012987012988,0.07243741588505528,0.253658197504469,0.3096062808975008,0.046435837007796556,1.7373358523873763,3,60,0.2,4,0.3,0.3,24,90,4,67.1
176,0.6032945549488867,0.9667683055791587,0.005681818181818182,0.05745157184702218,0.23092045530759203,0.3207072423619588,0.0630581359671369,1.7027447143249967,3,25,0.22746950570107344,4,0.15,0.3,11,16,4,58.0
119,0.6149357242534746,0.9649161352840728,0.0,0.06477155322354756,0.2253202764573623,0.3073327585572619,0.05035969900074387,1.7352029832819034,3,60,0.47231501586647445,4,0.3,0.12207050254681243,56,36,4,52.0
82,0.6180814656819112,0.9592353045316573,0.0,0.08344760525247606,0.2567125866176103,0.26697445895468447,0.11322425211804084,1.7732320044385346,3,60,0.21132630142894637,4,0.3,0.06203180420139699,25,19,4,41.0
117,0.6278954779698471,0.9631100414545334,0.008547008547008548,0.06964244923871388,0.24592596091634852,0.32189740649279175,0.06973333801467517,1.7264443173913726,3,60,0.2028304501924679,4,0.1,0.151191015206471,24,45,4,52.1
100,0.6166650348167562,0.967977135857703,0.0,0.08900966712267014,0.22242722851967095,0.31991557430390444,0.1800177874683151,1.771177243538962,3,25,0.2,4,0.15,0.05,10,3,4,33.2
85,0.6372964374627118,0.9640278445219579,0.0,0.09860050893782595,0.23861246624461083,0.27413552564985083,0.14618251017808143,1.8196697068264405,3,60,0.2939187053654472,4,0.1,0.05034686939509904,35,15,4,40.1
75,0.6546617062991708,0.9630543813266004,0.0,0.07649765283501098,0.2433440010590972,0.307452773724822,0.12240198151267802,1.8279563575918991,3,60,0.2212935989212279,4,0.25,0.05366032709889841,26,16,4,39.3
80,0.639116588831537,0.9537761552413944,0.0,0.07043780730553023,0.2689758537274019,0.33899466542254464,0.1228536731053435,1.7495157698653643,3,60,0.2467485152603237,3,0.15,0.05558821363158263,29,17,3,40.2
74,0.6383950821043808,0.962676314993697,0.0,0.08433449988269624,0.24391399793987287,0.25878722097229895,0.11414534521355914,1.8314604319843062,3,60,0.20920341864393907,4,0.1,0.05687086499346598,25,17,4,42.7
70,0.6569834536436852,0.9642038273258359,0.0,0.1658607016372882,0.2414943126044216,0.33322013410317997,0.08068891125014274,1.6986871981955984,3,60,0.3560517196077374,4,0.3,0.05542411826373762,42,17,4,45.1
95,0.6392019987292434,0.9648229725741918,0.0,0.09647264750970522,0.24276748331886602,0.32814582386294533,0.07692986469304619,1.7356896893471179,3,60,0.20729063091456543,4,0.1,0.11008899367983829,24,33,4,47.2
16,0.5074559235899112,0.9650128250157912,0.0,0.2737232082034715,0.23957874587267838,0.37627052240288317,0.01632689328742874,1.218305015296634,9,60,0.49868404066556804,4,0.3,0.28519516148602175,59,12,4,47.0
