n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
146,0.6366531380579868,0.9683722986223755,0.0,0.06961058245343296,0.21472391099966695,0.31329627931201504,0.11637319473485855,1.809596354840497,3,25,0.2,4,0.2,0.1358031668338196,10,7,4,44.7
145,0.6375374107710055,0.9683661090061677,0.0,0.06871142245933778,0.21491109619602655,0.3138238575541915,0.1156204660579924,1.8112603354656323,3,25,0.2,4,0.15,0.13522128096685831,10,7,4,43.7
167,0.6188789225988275,0.9685043080653112,0.0,0.05870186765109203,0.22100622817804963,0.300179474812493,0.05087133037325657,1.7623133618969844,3,25,0.5,4,0.1,0.15962360665751701,25,8,4,52.5
145,0.6379507397151493,0.9683394028934814,0.0,0.06792311563776976,0.21479735192307464,0.311743640866679,0.1156204660579924,1.8149856828867899,3,25,0.2,4,0.2,0.13400163151695452,10,7,4,43.9
146,0.60519513160744,0.9690557910661126,0.0,0.051741136686321826,0.21284313352010462,0.31182617310438915,0.049317659895760715,1.7341160076781097,3,25,0.4953654085211096,4,0.2,0.15040835466791558,24,8,4,53.8
133,0.6401413847035717,0.9682281026586019,0.0,0.08340630167849733,0.21541677432686504,0.32042515962070967,0.10654324790687573,1.7902426475565436,3,25,0.2,4,0.25,0.12746812844300098,10,7,4,46.3
143,0.6403480747931005,0.9682683558147926,0.0,0.07394368513192784,0.2148575369919617,0.3149625566601309,0.11411330676742104,1.8096861484966649,3,25,0.2,4,0.2,0.13391618080426587,10,7,4,44.0
145,0.6387254632081785,0.9682772487418629,0.0,0.07230037983516799,0.2146802572639944,0.31404734505131393,0.1156204660579924,1.8098505546687371,3,25,0.2,4,0.2,0.13387642592137866,10,7,4,45.0
149,0.6249138772739019,0.968533612484936,0.0,0.05382822803427478,0.21296367161048793,0.300677897466423,0.11862798712194766,1.816687399287772,3,25,0.2,4,0.2,0.13383175942950648,10,7,4,44.5
167,0.6201622092873701,0.9683536796423432,0.0,0.05406145977293806,0.22328765124878233,0.2988133844238051,0.05087133037325657,1.7695950935825775,3,25,0.5,4,0.1,0.15342623081739754,25,8,4,55.8
142,0.6399856552254601,0.9683299872765704,0.0,0.06955866509670469,0.21481967546632405,0.31608912982413806,0.1133588744419358,1.811923102294454,3,25,0.2,4,0.2,0.13263260638056468,10,7,4,45.3
169,0.6151018160230134,0.9681231610577541,0.0,0.06360066165848229,0.22448275878180518,0.29795522412362974,0.05146515461873496,1.7502621052401333,3,25,0.5,4,0.1,0.1503642406231987,25,8,4,56.7
143,0.6396292116491152,0.9684097873648951,0.0,0.06693153708633803,0.21470988390606888,0.3141568256331297,0.11411330676742104,1.8162815593743338,3,25,0.2,4,0.2,0.1331476567915708,10,7,4,44.2
169,0.6182987194087896,0.9682192549724437,0.0,0.0575551710925231,0.2233767768066524,0.2937347261016202,0.05146515461873496,1.7675709855019206,3,25,0.5,4,0.1,0.15267227557434818,25,8,4,55.6
145,0.6374776658894312,0.9683663822303548,0.0,0.06871310598718769,0.21491041025788735,0.3137678381262015,0.1156204660579924,1.8111957977958806,3,25,0.2,4,0.2,0.13206571801187172,10,7,4,44.1
